alpha,g_Leak,vSTMD_AUC,vSTMD_F_AUC,vSTMD_AAE,vSTMD_F_AAE
0.1,0.0,0.010997781855192198,0.0267390928252375,1.1731543154897768,0.8078704279574964
0.2,0.0,0.010445618623308799,0.02435821769628845,1.0259993742104885,0.7666691161947697
0.30000000000000004,0.0,0.009532521551079028,0.02355590790234454,0.905461062762825,0.6791109467934895
0.4,0.0,0.008627930009069636,0.02089500076574451,0.8213937426386252,0.6638666863809944
0.5,0.0,0.007448264760159083,0.019918474638076267,0.7566332894165501,0.6399776069858997
0.6,0.0,0.006751977213982317,0.018876884661893672,0.8046739711683298,0.6205724476220966
0.7000000000000001,0.0,0.005972413996143106,0.017455934132599916,0.8100480951015329,0.6317953115505733
0.8,0.0,0.005586966960551574,0.01682010563370613,0.8024327114830561,0.6438042276088228
0.9,0.0,0.005463008276129042,0.016645425943026773,0.8668978377590939,0.646942613793594
1.0,0.0,0.005463441585631726,0.01664723031260108,0.8669108399483392,0.647581580196291
0.1,0.1,0.21457300761907455,0.39024686384065693,0.6147873271594648,0.5351039249196157
0.2,0.1,0.26527719564068125,0.4702329429107199,0.5403846994074378,0.4794867444057581
0.30000000000000004,0.1,0.2740361706763578,0.5212131992676143,0.575552164090868,0.4571464806751124
0.4,0.1,0.26449385535448455,0.558619789503181,0.6804651779359202,0.4705538075400195
0.5,0.1,0.2448304711046706,0.5816080096542212,0.8817897867776979,0.5050701030115982
0.6,0.1,0.21562289999058595,0.5930125350259816,1.125682064002311,0.557132448829499
0.7000000000000001,0.1,0.1846706803506502,0.5963645073376638,1.2752386549312191,0.5909675166210868
0.8,0.1,0.1650213942658673,0.595296175622215,1.3443365847869926,0.6131495644033405
0.9,0.1,0.15986673416623404,0.5948646007739679,1.3933140668409487,0.6205827883891059
1.0,0.1,0.15976549252152705,0.5948499815567744,1.3898559563649688,0.621195564029649
0.1,0.2,0.36957153149445005,0.4857326364200533,0.6344571607749208,0.4640584289962441
0.2,0.2,0.3936132756833415,0.5332339206265161,0.5438746417593157,0.42609425579410676
0.30000000000000004,0.2,0.3985552068050916,0.571697805669878,0.514167056373329,0.4083737223132921
0.4,0.2,0.38740977789351594,0.5973182537928642,0.5072839176560728,0.3966970253940624
0.5,0.2,0.3625748091848518,0.6134379829618971,0.5212422618579141,0.4004136879813148
0.6,0.2,0.3279701646278381,0.6227608604505538,0.5525321156776295,0.41451764458206924
0.7000000000000001,0.2,0.2927505729488701,0.624956251352755,0.6030443123502847,0.43029444511182563
0.8,0.2,0.26921676711979836,0.6234093033415524,0.6392001527696769,0.44613562414383906
0.9,0.2,0.2635183849834876,0.6229050568357885,0.6556214410855907,0.4511222556335064
1.0,0.2,0.2634645500880451,0.6228990415519909,0.6556248018730146,0.451230668412318
0.1,0.30000000000000004,0.4511095165354999,0.5262196074290373,0.7973467052818383,0.5124712029174705
0.2,0.30000000000000004,0.46904570261142736,0.5659245693576753,0.6676887251513179,0.4812684906140383
0.30000000000000004,0.30000000000000004,0.46030393555405535,0.5967116994955034,0.6082072462560786,0.46605948494311633
0.4,0.30000000000000004,0.43735966817037947,0.6131444434799473,0.5726566207616967,0.46361256159393377
0.5,0.30000000000000004,0.39490064005621967,0.6215781807009002,0.5528357227333625,0.47004983602851863
0.6,0.30000000000000004,0.347041554655756,0.6247842835074423,0.5285763347420008,0.47696284056046684
0.7000000000000001,0.30000000000000004,0.30461125163473585,0.6204059670775649,0.5572427167710198,0.48731543382942055
0.8,0.30000000000000004,0.273871974300662,0.6138231279047105,0.6421292120869753,0.5003836167631394
0.9,0.30000000000000004,0.26677412367373493,0.6121718467688626,0.6472319006094289,0.5022297051031591
1.0,0.30000000000000004,0.2667539100600038,0.6121100739824786,0.6472526139777711,0.502334420455953
0.1,0.4,0.5131221305360134,0.5568439809861206,0.9959017917841763,0.6682461138002103
0.2,0.4,0.5147215581288624,0.5950070049908646,0.8717656222272928,0.6360305811973077
0.30000000000000004,0.4,0.49096673719194817,0.6138239908555384,0.7904767646664224,0.6232129997619181
0.4,0.4,0.4411379005856856,0.6211286394325795,0.709671824883382,0.619477307510967
0.5,0.4,0.3813990382838114,0.6200402452519483,0.670589074834804,0.6219448639725607
0.6,0.4,0.3175744739855986,0.6125600531844464,0.6932740454905422,0.6315310246478087
0.7000000000000001,0.4,0.26254391252958087,0.5996605472686763,0.6786295614950335,0.6458434271501075
0.8,0.4,0.22979636398403983,0.5870773279633344,0.6766733292315231,0.6543779312969692
0.9,0.4,0.22334064475202223,0.5839066547150429,0.681742146601215,0.6598914709586995
1.0,0.4,0.22329292315292112,0.5839025982431223,0.6817292680012209,0.6598792499982475
0.1,0.5,0.5567983268108412,0.5848388218807656,1.181541747860225,0.8576023487175378
0.2,0.5,0.5448578921308791,0.6154053206917188,1.0679914115361244,0.8292729946051196
0.30000000000000004,0.5,0.49442334111337527,0.6222924236109683,0.9971161815595737,0.8158186477385496
0.4,0.5,0.42758299506249675,0.6164316379565323,0.923678397143383,0.8157791623991081
0.5,0.5,0.3484500668407845,0.6043423781025244,0.8647047860401481,0.8324556764470973
0.6,0.5,0.2710777552998224,0.5853826256943112,0.8263340607671785,0.8401130125061407
0.7000000000000001,0.5,0.21677389818845985,0.5651497084302002,0.7955118702904939,0.8442953518335516
0.8,0.5,0.19105864003932474,0.5485531706227261,0.8038772029288916,0.8560879530051494
0.9,0.5,0.18489805802748427,0.5445945892285788,0.8249965800880688,0.8593224203796188
1.0,0.5,0.18486170025824547,0.5445673253960941,0.8250341486036978,0.859177574968318
